CustomerID,Contract,"Payment Method","Tenure Months","Total Revenue",Gender,Age,"Internet Type","Customer Status","Churn Category"
8779-QRDMV,Month-to-month,"Electronic check",1,59.65,Male,78,DSL,Churned,Competitor
7495-OOKFY,Month-to-month,"Credit card (automatic)",8,1024.1,Female,74,"Fiber Optic",Churned,Competitor
1658-BYGOY,Month-to-month,"Electronic check",18,1910.88,Male,71,"Fiber Optic",Churned,Competitor
4598-XLKNJ,Month-to-month,"Electronic check",25,2995.07,Female,78,"Fiber Optic",Churned,Dissatisfaction
4846-WHAFZ,Month-to-month,"Electronic check",37,3102.36,Female,80,"Fiber Optic",Churned,Price
4412-YLTKF,Month-to-month,"Electronic check",27,2235.41,Female,72,"Fiber Optic",Churned,Competitor
0390-DCFDQ,Month-to-month,"Mailed check",1,85.73,Female,76,"Fiber Optic",Churned,Other
3445-HXXGF,Month-to-month,"Electronic check",58,2610.25,Male,66,DSL,Churned,Dissatisfaction
2656-FMOKZ,Month-to-month,"Mailed check",15,1806.75,Female,70,"Fiber Optic",Churned,Dissatisfaction
2070-FNEXE,Month-to-month,"Bank transfer (automatic)",7,681.2,Female,77,"Fiber Optic",Churned,Price
0094-OIFMO,Month-to-month,"Electronic check",11,1367.79,Female,78,"Fiber Optic",Churned,Dissatisfaction
9947-OTFQU,Month-to-month,"Electronic check",15,1510.95,Male,65,"Fiber Optic",Churned,Competitor
9514-JDSKI,Month-to-month,"Electronic check",1,40.2,Male,77,DSL,Churned,Dissatisfaction
7273-TEFQD,Month-to-month,"Electronic check",3,132.2,Male,67,DSL,Churned,Price
3606-TWKGI,Month-to-month,"Electronic check",13,1799.14,Male,68,Cable,Churned,Competitor
4385-GZQXV,Month-to-month,"Electronic check",16,1662.08,Female,68,"Fiber Optic",Churned,Competitor
3488-PGMQJ,Month-to-month,"Electronic check",8,620.79,Male,66,"Fiber Optic",Churned,Dissatisfaction
7534-BFESC,Month-to-month,"Electronic check",24,2453.58,Male,69,"Fiber Optic",Churned,Competitor
8098-LLAZX,Month-to-month,"Electronic check",4,522.54,Female,74,"Fiber Optic",Churned,Competitor
0265-EDXBD,Month-to-month,"Electronic check",32,3818.23,Male,76,"Fiber Optic",Churned,Attitude
